title,author,categories,description,language,pageCount,averageRating,ratingsCount,publisher,publishedDate,Unnamed: 10
Cloud Atlas,David Mitchell,Fiction,"Â¿Puede el amor, el poder del bien incluso en la adversidad, perdurar mÃ¡s allÃ¡ de la vida que conocemos y prolongarse a travÃ©s de siglos y lugares? Seis vidas se entrecruzan aquÃ­ de forma inesperada a fin de dibujar un mundo, profÃ©tico y extraÃ±o a la vez, en el que la historia se puede reescribir. Los seis protagonistas de la novela, ajenos a la trascendencia de sus acciones, tienen un papel mucho mÃ¡s relevante en la posteridad de lo que pueden imaginar, en escenarios tan disÃ­miles como un viaje por la Polinesia a bordo de un galeÃ³n en el siglo xix, la California de los aÃ±os sesenta, o una isla en un futuro postapocalÃ­ptico. Todos ellos comparten un destino comÃºn, el afÃ¡n de poder que se sucede una civilizaciÃ³n tras otra, y la bÃºsqueda del amor como salvaciÃ³n. David Mitchell construye una aventura Ã©pica en la que no sÃ³lo todo estÃ¡ conectado, sino en la que tambiÃ©n los gestos individuales pueden llegar a ser el germen de grandes revoluciones.otra caminando sobre un cable tendido a cuatrocientos metros de altura. En este fascinante libro, que reconstruye aquel momento histÃ³rico, Petit cuenta los secretos que rodearon esa gesta. Nos revela los diversos intentos de entrar en las torres, las estrategias para burlar la vigilancia y los seis aÃ±os que pasÃ³ imaginando un hecho que se convirtiÃ³ en un hito del funambulismo y en el crimen artÃ­stico del siglo.",es,555.0,,,Newton Compton Editores,16/11/2014,
The Colour,Rose Tremain,Fiction,"Joseph and Harriet Blackstone emigrate from Norfolk to New Zealand in search of new beginnings and prosperity. But the harsh land near Christchurch threatens to destroy them almost before they begin. When Joseph finds gold in the creek he is seized by a rapturous obsession with the voluptuous riches awaiting him deep in the earth. Abandoning his farm and family, he sets off alone for the new gold-fields over the Southern Alps, a moral wilderness where many others, under the seductive dreams of 'the colour', are violently rushing to their destinies. By turns both moving and terrifying, The Colour is about a quest for the impossible, an attempt to mine the complexities of love and explore the sacrifices to be made in the pursuit of happiness.",en,387.0,,,Random House,28/02/2011,
Thursbitch,Alan Garner,Fiction,"A gripping time-slip novel by the author of the 2022 Booker Prize-longlisted Treacle Walker Here John Turner was cast away in a heavy snow storm in the night in or about the year 1755. The print of a woman's shoe was found by his side in the snow where he lay dead. So reads an enigmatic memorial stone, high on the bank of a prehistoric Pennine track in Cheshire, a mystery that lives on in the surrounding hill farms. John Turner was a packman. With his train of horses he carried salt and silk, travelling distances incomprehensible to his community. John brought ideas as well as gifts, from market town to market town, from places as distant as the campfires of the Silk Road. In the twenty-first century, two hundred and fifty years after John's life, Ian and Sal's world resounds with the echo John's death. Walking on the moor one day they slip between time and are lost somewhere between Jack's vanished world and their own. This poetic, fantastical novel is is an evocation of the lives and the language of all people who are called to the valley of Thursbitch. 'Eerie and immaculately written' Olivia Laing, Observer",en,178.0,,,Random House,27/03/2014,
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,"Una novela que no se parece a ninguna otra. Nominada por los estadounidenses como una de las 100 mejores novelas en la serie de PBS The Great American Read. Elogiada con entusiasmo por autores consagrados como Oliver Sacks e Ian McEwan y ganadora del Premio Whitbread y el Premio de la Commonwealth al Mejor Primer Libro, ha merecido la aprobaciÃ³n masiva de los lectores en todos los paÃ­ses donde se ha publicado. Su protagonista, Christopher Boone, es uno de los mÃ¡s originales que han surgido en el panorama de la narrativa internacional en los Ãºltimos aÃ±os, y estÃ¡ destinado a convertirse en un hÃ©roe literario universal de la talla de Oliver Twist y Holden Caulfield. A sus quince aÃ±os, Christopher conoce las capitales de todos los paÃ­ses del mundo, puede explicar la teorÃ­a de la relatividad y recitar los nÃºmeros primos hasta el 7.507, pero le cuesta relacionarse con otros seres humanos, Christopher es autista. Le gustan las listas, los esquemas y la verdad, pero odia el amarillo, el marrÃ³n y el contacto fÃ­sico. Si bien nunca ha ido solo mÃ¡s allÃ¡ de la tienda de la esquina, la noche que el perro de una vecina aparece atravesado por un horcÃ³n, Christopher decide iniciar la bÃºsqueda del culpable. Emulando a su admirado Sherlock Holmes -el modelo de detective obsesionado con el anÃ¡lisis de los hechos-, sus pesquisas lo llevarÃ¡n a cuestionar el sentido comÃºn de los adultos que lo rodean y a desvelar algunos secretos familiares que pondrÃ¡n patas arriba su ordenado y seguro mundo. ENGLISH DESCRIPTION A bestselling modern classic--both poignant and funny--about a boy with autism who sets out to solve the murder of a neighbor's dog and discovers unexpected truths about himself and the world. Nominated as one of America's best-loved novels by PBS's The Great American Read Christopher John Francis Boone knows all the countries of the world and their capitals and every prime number up to 7,057. He relates well to animals but has no understanding of human emotions. He cannot stand to be touched. And he detests the color yellow. This improbable story of Christopher's quest to investigate the suspicious death of a neighborhood dog makes for one of the most captivating, unusual, and widely heralded novels in recent years.",es,0.0,,,Debolsillo,18/11/2025,
Islands,Dan Sleigh,Fiction,"This novel of epic proportions from South Africa, set between 1650 and 1710, covers the first fifty years of the Dutch colony at the Cape of Good Hope. Beautifully rendered, this is a world and a time never before dealt with in fiction-a period when powerful colonizers took over the lands of Hottentot tribes, exposing aborigines for the first time to Western eyes and Western ways. Through the life stories of seven men-all involved with and defined in one way or another by Pieternella, thebeautiful daughter of the first mixed marriage of the new colony-we gain an understanding of the vast historical forces at work. Teeming with characters, rich with lived experience, gripping in its unexpected turns, Islands is a story of greed, power, war, courage, and international intrigue, at once a meticulously researched portrait of the age and a great adventure story.",en,776.0,,,Houghton Mifflin,2004,
Elizabeth Costello,J. M. Coetzee,Fiction,"Infancia es la primera parte de las memorias noveladas de J.M. Coetzee, que se completan con Juventud y Verano. Tiene diez aÃ±os. Vive en Worcester, una pequeÃ±a localidad al norte de Ciudad del Cabo, con una madre a la que adora y detesta a la vez, un hermano menor y un padre por quien no siente respeto alguno. Lleva una doble vida: en el colegio es el alumno modÃ©lico, el primero de la clase; en casa, un pequeÃ±o dÃ©spota. Los secretos, los engaÃ±os y los miedos le atormentan; el amor por la granja familiar y por el veld, las desnudas mesetas sudafricanas, le arraigan a la tierra. J.M. Coetzee vuelca su talento de narrador sobrio, mesurado y elegante en este relato lleno de fuerza, en el que evoca su infancia a comienzos de los aÃ±os cincuenta; escenas de una vida de provincias donde la inocencia en su estado mÃ¡s puro y la violencia soterrada forman parte tanto de la propia historia como de la de SudÃ¡frica. ReseÃ±as: Â«Estas son las memorias de infancia de un alma sensible, que absorbe los impulsos elementales de la vida para utilizarlos posteriormente.Â» The Washington Post Book World Â«J.M. Coetzee escribe, como siempre, con una elegancia extraordinaria.Â» The Atlantic Montly",es,176.0,,,DEBOLS!LLO,07/07/2016,
London Orbital,Iain Sinclair,Travel,"London Orbital is Iain Sinclair's exceptional voyage of discovery into the unloved outskirts of the city 'My book of the year. Sentence for sentence, there is no more interesting writer at work in English' John Lanchester, Daily Telegraph Encircling London like a noose, the M25 is a road to nowhere, but when Iain Sinclair sets out to walk this asphalt loop - keeping within the 'acoustic footprints' - he is determined to find out where the journey will lead him. Stumbling upon converted asylums, industrial and retail parks, ring-fenced government institutions and lost villages, Sinclair discovers a Britain of the fringes, a landscape consumed by developers. London Orbital charts this extraordinary trek and round trip of the soul, revealing the country as you've never seen it before. 'A magnum opus, my book of the year. I urge you to read it. In fact, if you're a Londoner and haven't read it by the end of next year, I suggest you leave' Will Self, Evening Standard 'A journey into the heart of darkness and a fascinating snapshot of who we are, lit by Sinclair's vivid prose. I'm sure it will be read fifty years from now' J. G. Ballard, Observer",en,650.0,,,Penguin UK,02/10/2003,
Fingersmith,Sarah Waters,Fiction,"Â«Sarah Waters deja atrÃ¡s las interioridades de la sociedad victoriana de sus celebradas novelas anteriores y las reemplaza por un sencillo y sincero estudio de la alienaciÃ³n provocada por la guerra... Ronda nocturna es un libro emotivo y maravilloso que no necesita trucos de magia para querer leerlo por segunda vezÂ» (Philip Hensher, The Observer). Â«El retrato que Waters hace del bombardeo de Londres es soberbio... Una novela repleta de matices, inteligente y generosa. Sarah Waters es una autora a celebrar, y esta novela es, muy probablemente, su mayor logro hasta la fechaÂ» (Justine Jordan, The Guardian). Â«Hay que destacar el sentido del detalle y la descripciÃ³n precisa y justa de Ronda nocturna, que proporcionan una textura de polvo y ceniza a esta suntuosa novela de amor y arrepentimientoÂ» (Christine Rousseau, Le Monde). Â«Todo un logro. La meticulosa recreaciÃ³n de Waters sitÃºa al lector, emocional y fÃ­sicamente, en la vorÃ¡gine del Blitz londinense... Un maravilloso tratado sobre la fragilidad del amor y lo efÃ­mero de la felicidadÂ» (J. Harding, Daily Mail). Inglaterra se recupera lentamente de los intensos bombardeos nazis durante la Segunda Guerra Mundial. Poco a poco Londres vuelve a la normalidad. Entre sus habitantes se encuentran los personajes de esta novela coral, cuyas vidas se entrelazan azarosamente. Ronda nocturna, la Ãºltima y celebrada novela de Sarah Waters, nos cuenta la vida de cuatro jÃ³venes londinenses durante el Blitz y la dura posguerra: el atribulado Duncan, su insatisfecha hermana Viv, la compaÃ±era de trabajo de Ã©sta, Helen, fatalmente enamorada, y la ex enfermera Kay, siempre en busca de un nuevo amor. La acciÃ³n se sitÃºa en 1947, 1944 y 1941: retrocediendo en el tiempo iremos descubriendo exactamente en quÃ© medida afectÃ³ la experiencia de la guerra a estos personajes y, poco a poco, se irÃ¡ revelando la verdadera naturaleza de sus comportamientos y actitudes actuales, asÃ­ como la dimensiÃ³n del laberinto sentimental en el que estÃ¡n atrapados y las inesperadas relaciones existentes entre ellos o con personajes de su pasado. La guerra supuso el fin de su inocencia, es la frontera que separa su aÃºn cercana juventud de una madurez sobrevenida entre bombardeos y cupones de racionamiento. Los secretos que albergan conectan sus vidas de maneras a veces insospechadas... AdemÃ¡s de una conmovedora historia de amor y traiciÃ³n en tiempos de guerra, en Ronda nocturna Sarah Waters nos habla de los sueÃ±os rotos de toda una generaciÃ³n y realiza una certera disecciÃ³n de las costumbres y la moral de la sociedad britÃ¡nica de posguerra.",es,467.0,,,Anagrama,01/06/2007,
Everything is Illuminated,Jonathan Safran Foer,Social Science,"El cambio climÃ¡tico es un problema real y podemos hacer algo para solucionarlo: cambiar lo que comemos a diario. La mayorÃ­a de los libros que abordan la crisis del medioambiente son densos, acadÃ©micos y estÃ¡n repletos de estadÃ­sticas impersonales. Este no es uno mÃ¡s. Es accesible, inmediato y ofrece una soluciÃ³n clara que los lectores pueden poner en practica inmediatamente. El principal porcentaje de las emisiones globales de CO2 proviene de las granjas industriales. Dejar de comer carne es difÃ­cil y nadie es perfecto, pero reducir su consumo es mucho mÃ¡s fÃ¡cil y tiene un efecto positivo e inmediato en el medio ambiente. Solo cambiando nuestra cena (y comiendo carne solo una vez al dÃ­a) es suficiente para cambiar el mundo. Mezclando ensayo, reportaje periodÃ­stico y su propia biografÃ­a, historia y actualidad, Jonathan Safran Foer se mete de lleno en uno de los principales dilemas de nuestra Ã©poca de una forma urgente, creativa y sorprendente.",es,574.0,,,Seix Barral,01/10/2019,
Unless,Carol Shields,Fiction,"Dazzling novel from Carol Shields, author of â€˜The Stone Diariesâ€™, winner of the Pulitzer Prize, and â€˜Larryâ€™s Partyâ€™, winner of the Orange Prize.",en,20.0,,,HarperCollins UK,19/08/2010,
